"Year_Index","Wealth_GMVP_Net","Wealth_GMVP_Gross","Wealth_MV_Net","Wealth_MV_Gross","Wealth_SP500","Wealth_GMVP_Net_Real","Wealth_GMVP_Gross_Real","Wealth_MV_Net_Real","Wealth_MV_Gross_Real","Wealth_SP500_Real"
0,1,1,1,1,1,1,1,1,1,1
1,1.09769014916827,1.09884193709213,1.32790457324748,1.32918756190095,1.08251414739727,1.05689202207713,1.05800100120824,1.27855000849594,1.279785311986,1.04228007059797
2,1.34010888538501,1.34154524367922,1.89431395945026,1.89634123036227,1.26427235275791,1.2724065048455,1.27377029823331,1.7986131056296,1.80053795869464,1.20040123835409
3,1.8192767108544,1.8212519269539,2.72003485592118,2.72310129373494,1.4455336310703,1.66717025417462,1.66898032600537,2.49261762933261,2.49542768779094,1.32467516170073
4,1.51285335282945,1.51460101641892,2.05318889012754,2.05603877130922,0.924283710805229,1.33650078452225,1.33804472383008,1.81384967504988,1.81636734698945,0.816540415038882
5,1.47388636276404,1.47565953852067,2.04631778960048,2.04944280403166,1.01415912666219,1.30499894111499,1.30656893493763,1.81183747680887,1.81460440689703,0.897950221843629
6,1.81431754312512,1.81655851498495,2.92703682914473,2.93229305780041,1.18329340846934,1.58789541861842,1.58985672300141,2.5617502232385,2.56635048818837,1.0356214596004
7,1.85046327104056,1.85284855624462,3.3151703031871,3.32137618911098,1.27821535907871,1.56442694182349,1.56644352031795,2.80272611740228,2.80797272525942,1.08063455054195
8,2.13234554480544,2.13512436223036,4.05939895743671,4.06714074248477,1.47047471706453,1.76469595204243,1.76699565805075,3.35949533384253,3.36590231453531,1.21694196660855
9,2.77657797253808,2.78021579481571,4.83404851508441,4.84351296977545,1.86877172870419,2.27788023800996,2.28086467552893,3.96581104186555,3.97357559755874,1.53312395051373
10,3.44135351926373,3.44590050585712,5.97249091699029,5.98456083094602,2.18548216348341,2.77853459816728,2.78220581633665,4.82216446441915,4.83190966302638,1.76454925973874
11,3.57636568472909,3.5811480784565,6.38128106109181,6.39461626957424,2.29894544254109,2.8838625759258,2.887718939483,5.14565323035212,5.15640629982956,1.85379329472613
12,3.75237070049938,3.75749058045654,6.98740715687588,7.00317252865458,2.40062741781512,2.97562045034037,2.97968050216355,5.54099615693286,5.55349805677598,1.90369145488419
13,4.91928750696999,4.92605688483419,10.6363521540481,10.6611526115378,2.96312787326504,3.82371451139031,3.82897628320904,8.26753346334537,8.28681061863633,2.30321058325119
14,5.72371348632057,5.73161341550188,12.4434141789787,12.4730005783587,3.17539138994528,4.34081257151763,4.34680380640146,9.43697283761734,9.45941089547642,2.40818812784846
15,6.28599751535604,6.29477416385865,12.8818194411901,12.9134713168753,3.62979633677519,4.6859898648432,4.69253254734189,9.60294292110258,9.62653828020066,2.70588539114465
16,6.70013122873727,6.70956937329582,18.0940381131168,18.1402519206182,3.98310208456804,4.93400465025194,4.94095493936597,13.3245253181077,13.3585573591728,2.93317302852152
17,9.62319162978949,9.63707613361284,25.8183295728998,25.8865674507095,5.68079774260556,6.6711719443624,6.68079722420002,17.8982735170575,17.9455786766657,3.93815066560162
18,9.33386356580748,9.34745131728592,23.7606854022787,23.8267931710292,4.8496023036332,6.00479109455798,6.01353255606506,15.2860550294378,15.3285843998614,3.11991369058385
19,10.889848748459,10.9060478606647,31.5855235769886,31.6772782571833,5.33396502364296,6.78551486603279,6.79560860739019,19.6810850851729,19.7382578486218,3.32361815107396
20,13.6073795422918,13.6276918342174,50.770433275136,50.9217096297423,7.35084037870672,8.26626186211779,8.27860124925363,30.8422128596531,30.9341107858361,4.46551603033958
21,15.1162005269395,15.1390062502177,61.2394088028656,61.4270450885446,8.92421962338759,NA,NA,NA,NA,NA
