"Year_Index","Wealth_GMVP_Net","Wealth_GMVP_Gross","Wealth_MV_Net","Wealth_MV_Gross","Wealth_SP500","Wealth_GMVP_Net_Real","Wealth_GMVP_Gross_Real","Wealth_MV_Net_Real","Wealth_MV_Gross_Real","Wealth_SP500_Real"
0,1,1,1,1,1,1,1,1,1,1
1,1.0277945482456,1.02873404166329,0.986085261209205,0.987007954649569,1.08251374809871,0.98959424861216,0.990498823640647,0.949435181184353,0.950323580644513,1.04227968614025
2,1.27137895103619,1.27292508833803,1.21957099342913,1.22107408555642,1.26427265223182,1.20714881086497,1.20861683721843,1.15795819435545,1.15938535017913,1.20040152269857
3,1.4335959305224,1.43554079724692,1.36403144884165,1.36597777016412,1.44553373089494,1.31373555084442,1.31551781075689,1.24998723047443,1.25177082336853,1.32467525317921
4,0.969291522708966,0.970747717227533,0.906494995560037,0.907846282271179,0.924283411331314,0.856301688533416,0.857588135176009,0.80082532154593,0.802019089432406,0.816540150474494
5,0.960703324286217,0.962372319477998,0.861707273627065,0.863251154251148,1.01415902683755,0.850619730660933,0.852097481600913,0.762967287061085,0.764334259868851,0.897950133457543
6,0.979609636780864,0.981591156190149,0.926502183771445,0.928434278503524,1.18329340846934,0.857356894427336,0.859091125352805,0.810877113835624,0.812568088155434,1.0356214596004
7,1.17674645931518,1.17916668459056,1.08691843060239,1.08927695552594,1.27821525925407,0.994850259099096,0.99689637678505,0.918907444967931,0.920901399666255,1.08063446614776
8,1.46887526002354,1.47195948279321,1.42069327824396,1.4240452579173,1.47047461723989,1.21561828088013,1.21817073559372,1.17574362340966,1.17851766956521,1.21694188399523
9,1.66126115902548,1.66479767925199,1.81092218651883,1.81543082786197,1.86877212800274,1.36288409752763,1.36578542773156,1.48566469303014,1.48936354287963,1.53312427809476
10,1.81956531040869,1.8234904672922,1.90951453996168,1.91447460812798,2.18548156453558,1.46910950598217,1.47227866141564,1.5417341418972,1.54573888042005,1.76454877615074
11,1.87867980673591,1.88282371749384,2.15216492438782,2.15803323001279,2.29894424464543,1.5149050361173,1.51824654820143,1.73543435705243,1.74016636391856,1.85379232878283
12,1.95688695595402,1.96127030707015,2.15122269729637,2.15774186530212,2.40062741781512,1.55180639385287,1.55528238017278,1.70591414394626,1.7110838276437,1.90369145488419
13,2.06282755964284,2.06749102024521,2.26046840398562,2.26745192388467,2.96312687501865,1.60341587336101,1.60704073609841,1.75704018653363,1.76246840888102,2.30320980732395
14,2.21962527606873,2.22469458969987,2.11725725111031,2.12485113721611,3.17539079099745,1.68334374623129,1.68718826786774,1.60570876140493,1.61146789598662,2.40818767361184
15,2.13374797545608,2.13870697271347,2.02917571719045,2.0367708285527,3.62979513887953,1.59063400243017,1.59433076031643,1.51267906509852,1.51834095325213,2.70588449815561
16,1.70509796297336,1.70922853386737,1.55645181550411,1.56265884262247,3.98310288316514,1.25564126898917,1.25868303866554,1.14617762449971,1.15074850522139,2.93317361661176
17,2.91119815704869,2.9186388435203,2.70176521403775,2.71268489784234,5.68079694400846,2.01815616033904,2.02331433454421,1.8729690719603,1.88053902287066,3.93815011198295
18,3.72843697102975,3.73804454482284,3.50135734282136,3.51582383640262,4.84960270293176,2.39862999522249,2.40481087339221,2.25254196644346,2.26184875255767,3.11991394746616
19,3.70575244429955,3.7155856904926,3.5308650110056,3.54655095164889,5.33396542294152,2.30907140048114,2.31519854143282,2.20009823603142,2.20987221782688,3.32361839987872
20,4.13203083119308,4.14308649082196,4.07189568932157,4.09069491656353,7.35084037870672,2.51014155714756,2.51685769064459,2.473610436054,2.48503066099184,4.46551603033958
21,4.36571713732718,4.37751721337564,4.30957940001453,4.33023287983308,8.92421962338759,NA,NA,NA,NA,NA
