"Strategy","Wealth_2025_Nominal","Wealth_2024_Real_Nov2004Dollars","Annualized_Return_Nominal_Pct","Annualized_Volatility_Pct","Sharpe_Ratio"
"GMVP (Gross)",15.14,8.28,13.81,14.81,1.107
"GMVP (Net)",15.12,8.27,13.81,14.81,1.107
"MV (Gross)",61.43,30.93,21.66,18.63,1.434
"MV (Net)",61.24,30.84,21.65,18.63,1.434
"S&P 500",8.92,4.47,10.99,13.84,1.138
