"Year_Index","Wealth_GMVP_Net","Wealth_GMVP_Gross","Wealth_MV_Net","Wealth_MV_Gross","Wealth_SP500","Wealth_GMVP_Net_Real","Wealth_GMVP_Gross_Real","Wealth_MV_Net_Real","Wealth_MV_Gross_Real","Wealth_SP500_Real"
0,1,1,1,1,1,1,1,1,1,1
1,1.0277937404871,1.02873323298118,1.03843028341863,1.03875161650971,1.08251374809871,0.989593470875826,0.990498045015032,0.999834682729036,1.00014407275194,1.04227968614025
2,1.27137831564275,1.27292444912977,1.22376274926592,1.22418242311038,1.26427305153038,1.20714820757164,1.208616230303,1.16193818243822,1.16233665433512,1.20040190182453
3,1.43359455765351,1.43553942025394,1.34976283179967,1.35025693236958,1.44553353124566,1.31373429275863,1.31551654889182,1.2369115868636,1.23736437657272,1.32467507022225
4,0.96929051466199,0.970746705955114,0.768089315001114,0.768510233517257,0.924283910454504,0.856300797993979,0.857587241787116,0.678553522826394,0.678925375078957,0.816540591415141
5,0.957183345448714,0.958839076900473,0.666823581890103,0.667296507517679,1.01415942613611,0.847503093739837,0.848969100784821,0.590414627790682,0.590833362544462,0.897950487001888
6,0.965792352362133,0.967785454398979,0.7011511266969,0.701826444000851,1.18329400741717,0.84526397127318,0.847008339344326,0.613649284305228,0.614240323760875,1.03562198380109
7,1.13032928122529,1.13271110232275,0.749092188224138,0.749832939305384,1.27821525925407,0.955608040621337,0.957621690475291,0.633300870926427,0.633927120021355,1.08063446614776
8,1.40419073189172,1.40721011016945,0.926507128235219,0.927448792001295,1.47047401829207,1.16208637314967,1.16458516357197,0.766762864826546,0.767542171088717,1.21694138831534
9,1.58687475419001,1.59032075669475,1.13511249276021,1.13629662652773,1.86877132940563,1.30185814283548,1.30468521309366,0.93123634227104,0.932207795237564,1.53312362293269
10,1.74663749118343,1.75046212453909,1.27554252872758,1.27690010304503,2.18548156453558,1.41022788636593,1.41331587951877,1.02986776210705,1.03096386199609,1.76454877615074
11,1.77431198879927,1.77828477207428,1.37498668195992,1.3764663208877,2.29894524289181,1.4307462920706,1.43394981263282,1.10874361965616,1.10993675137306,1.85379313373558
12,1.83803431034893,1.84220005792248,1.4496529130312,1.45127355951975,2.4006268188673,1.45755654727121,1.46085997453365,1.14957108404483,1.15085625260066,1.90369097992008
13,2.02461532521119,2.02924574289577,1.55260772457357,1.55436737178847,2.96312687501866,1.57371387381292,1.57731305261051,1.20682693957958,1.20819469630878,2.30320980732395
14,2.21637250773395,2.22148333969156,1.42577468967641,1.42751285754203,3.17539119029601,1.68087687612789,1.68475288488785,1.08129463710762,1.08261284790565,2.40818797643625
15,2.13600625069893,2.14101083882728,1.57198318492661,1.57400938464882,3.62979593747664,1.59231746712677,1.59604821140242,1.17185812661792,1.17336858718352,2.70588509348164
16,1.63540572335486,1.63940641413134,1.32789687952775,1.32973782165485,3.98310248386659,1.20431961234918,1.20726573776397,0.977868814053026,0.979224491532449,2.93317332256664
17,2.8204056149296,2.82759345025243,2.34982340157734,2.35321329524524,5.68079654470991,1.955215227326,1.96019811524833,1.62898927444012,1.63133928100776,3.93814983517362
18,3.5275667518858,3.53663201439398,2.2239656975774,2.22735754733676,4.84960270293176,2.26940336848069,2.27523535940226,1.43075258399279,1.43293467601562,3.11991394746616
19,3.3472375237355,3.35609886546848,2.58270479394779,2.58685171779648,5.33396542294152,2.08567910373081,2.0912006465411,1.60929524171645,1.61187920904911,3.32361839987873
20,3.77243593840179,3.78250572710133,3.52108615332363,3.52677662468204,7.35084117730384,2.29169350556978,2.29781073850415,2.13900259722953,2.14245946607201,4.46551651547434
21,4.040214089505,4.05106529308997,4.62627124195181,4.63379419924153,8.9242196233876,NA,NA,NA,NA,NA
