"Stock","Beta_Full","Beta_150","Expected_Return_Full_Pct","Expected_Return_150mo_Pct"
"GE",1.272,1.304,9.92,1.01
"MSFT",1.119,1.257,8.96,1.06
"XOM",0.641,0.493,5.96,1.83
"PFE",0.57,0.55,5.52,1.78
"C",1.728,1.904,12.77,0.41
